"$State []","Freq [GHz]","dB(St(2,1)) []","dB(St(3,1)) []","dB(St(4,1)) []","dB(St(5,1)) []","dB(St(6,1)) []","dB(St(7,1)) []","dB(St(8,1)) []"
1,14,-21.7980995933666,-27.4574411836104,-28.9399697912227,-29.9234570320654,-25.3925753314691,-28.8842776595471,-29.4609015335788
1,14.1,-21.973177116989,-27.3127521263044,-28.9562137960483,-29.7862408415371,-25.133663664986,-28.9481165963038,-30.4149516693972
1,14.2,-22.1300547482266,-27.1639203902848,-28.958063376315,-29.6527340697475,-24.8858414675755,-28.9942128914753,-31.381403171315
1,14.3,-22.2705848867389,-27.0132324145003,-28.9474227427541,-29.52305541218,-24.6481064887605,-29.0243192278555,-32.3612469330059
1,14.4,-22.3964181685461,-26.8623271674078,-28.9260640885109,-29.3972506975605,-24.4196136033845,-29.0400718957676,-33.3534536663399
1,14.5,-22.5090228341461,-26.7123709133911,-28.8956085739951,-29.275314419708,-24.1996454555214,-29.0429829967451,-34.3536468729974
1,14.6,-22.6097044377459,-26.5641863522155,-28.8575196441064,-29.1572050769335,-23.9875882351488,-29.0344397410837,-35.3521125369584
1,14.7,-22.6996245778898,-26.4183469530731,-28.8131044658214,-29.0428561035279,-23.7829120335045,-29.0157080187877,-36.3310580612336
1,14.8,-22.7798180362666,-26.2752454265891,-28.7635205349764,-28.9321836772266,-23.5851550853002,-28.9879384411071,-37.26145607331
1,14.9,-22.8512081106728,-26.135143284858,-28.7097853806615,-28.8250923163781,-23.3939112117907,-28.952173697751,-38.1008695551154
1,15,-22.9146201448576,-25.9982067008406,-28.6527879207826,-28.7214789126366,-23.2088198486968,-28.9093564916382,-38.7953432503689
1,15.1,-22.9707933679299,-25.8645324911288,-28.593300472526,-28.6212356537671,-23.0295581348668,-28.8603375836034,-39.2892222920746
1,15.2,-23.0203912046131,-25.734166991743,-28.5319907476228,-28.524252155896,-22.8558346301172,-28.8058836564241,-39.543023262973
1,15.3,-23.0640102319475,-25.6071198180329,-28.4694333983625,-28.4304170294549,-22.6873843143454,-28.7466848238124,-39.5505466352973
1,15.4,-23.1021879540301,-25.4833739347392,-28.4061208498389,-28.3396190364624,-22.5239645913733,-28.6833616865745,-39.3421185490764
1,15.5,-23.1354095533397,-25.3628930564981,-28.3424732740035,-28.2517479502452,-22.3653520797699,-28.6164718884161,-38.9711290957318
1,15.6,-23.1641137604332,-25.2456271093632,-28.2788476444732,-28.1666951962016,-22.2113400202741,-28.5465161566223,-38.494953951439
1,15.7,-23.188697966252,-25.1315162776188,-28.2155458673033,-28.0843543295186,-22.0617361670247,-28.473943833823,-37.9619036706063
1,15.8,-23.2095226844914,-25.0204940133362,-28.1528220194122,-28.0046213898953,-21.9163610593364,-28.3991579201149,-37.4069114958984
1,15.9,-23.2269154561869,-24.9124892814958,-28.0908887485769,-27.9273951622199,-21.7750465937987,-28.3225196525153,-36.8527146785382
1,16,-23.2411742751422,-24.8074282387693,-28.0299229010959,-27.8525773643504,-21.6376348343613,-28.2443526528333,-36.3129081691105
1,16.1,-23.2525706010692,-24.7052354905125,-27.9700704484395,-27.7800727776504,-21.5039770119238,-28.1649466767458,-35.7949150886705
1,16.2,-23.2613520172384,-24.6058350319956,-27.9114507847854,-27.7097893320354,-21.3739326756556,-28.0845609969881,-35.3022488156154
1,16.3,-23.2677445808637,-24.5091509520696,-27.8541604649135,-27.6416381545002,-21.2473689665432,-28.0034274526699,-34.836055456958
1,16.4,-23.2719549071991,-24.4151079572577,-27.7982764477137,-27.5755335880957,-21.1241599900586,-27.9217531952005,-34.3961060204669
1,16.5,-23.2741720222061,-24.3236317595187,-27.7438589053487,-27.5113931868575,-21.0041862697832,-27.8397231594211,-33.9814132662159
1,16.6,-23.274569013505,-24.2346493601115,-27.690953652503,-27.449137691112,-20.8873342676559,-27.7575022864746,-33.590606505686
1,16.7,-23.2733045049954,-24.1480892540125,-27.6395942444909,-27.3886909867701,-20.7734959594808,-27.6752375228232,-33.2221548232079
1,16.8,-23.2705239768837,-24.063881573422,-27.5898037875455,-27.3299800515995,-20.6625684566452,-27.5930596177295,-32.8744969213189
1,16.9,-23.2663609497884,-23.9819581844825,-27.5415964994994,-27.2729348909784,-20.5544536667969,-27.5110847394996,-32.5461140403915
1,17,-23.2609380490061,-23.9022527480228,-27.4949790543766,-27.2174884652482,-20.4490579876432,-27.4294159288842,-32.2355684795381
1,17.1,-23.2543679628301,-23.8247007526479,-27.4499517401712,-27.1635766104665,-20.3462920291367,-27.3481444062506,-31.9415215521822
1,17.2,-23.246754306963,-23.7492395266005,-27.4065094552936,-27.1111379541011,-20.246070360187,-27.2673507475023,-31.6627394432821
1,17.3,-23.2381924054887,-23.6758082333811,-27.3646425658012,-27.0601138269867,-20.1483112767248,-27.1871059422132,-31.3980921369882
1,17.4,-23.2287699975278,-23.6043478550059,-27.3243376425694,-27.0104481726767,-20.0529365884934,-27.1074723460735,-31.1465485578352
1,17.5,-23.2185678775574,-23.5348011659323,-27.2855780949658,-26.9620874551615,-19.9598714223798,-27.0285045384988,-30.9071698233779
1,17.6,-23.2076604763941,-23.4671127000233,-27.2483447153295,-26.9149805657841,-19.8690440404456,-26.9502500951314,-30.6791017400036
1,17.7,-23.1961163889938,-23.4012287124103,-27.2126161465953,-26.8690787300594,-19.7803856711054,-26.8727502839456,-30.4615672022266
1,17.8,-23.1839988544984,-23.3370971377139,-27.178369283696,-26.8243354149958,-19.693830352124,-26.796040692762,-30.253858866318
1,17.9,-23.1713661933287,-23.2746675457698,-27.1455796179099,-26.7807062374225,-19.6093147842956,-26.720151795155,-30.0553322923557
1,18,-23.1582722055763,-23.2138910957596,-27.114221532045,-26.7381488737405,-19.5267781948186,-26.6451094610068,-29.8653996419696
1,18.1,-23.1447665344769,-23.1547204894522,-27.0842685532567,-26.6966229714436,-19.4461622095081,-26.5709354173047,-29.683523955692
1,18.2,-23.1308949983265,-23.0971099241083,-27.0556935693559,-26.65609006269,-19.3674107330938,-26.4976476641935,-29.5092139974148
1,18.3,-23.1166998938471,-23.0410150454764,-27.0284690136445,-26.6165134801457,-19.2904698369392,-26.4252608507684,-29.3420196336874
