"$State []","Freq [GHz]","dB(St(10,9)) []"
0,9.5,-24.3395114172749
0,9.6,-26.1376793200561
0,9.7,-28.3033219118994
0,9.8,-30.6582027926227
0,9.9,-32.0534506790042
0,10,-31.0561779206887
0,10.1,-28.784599799862
0,10.2,-26.5479367753534
0,10.3,-24.6266955950607
0,10.4,-22.9904224487921
0,10.5,-21.5785808707448
0,10.6,-20.3499396727936
0,10.7,-19.284436938686
0,10.8,-18.3767292870499
0,10.9,-17.6280168112937
0,11,-17.0377726679674
0,11.1,-16.6009306903783
0,11.2,-16.288295112301
0,11.3,-16.0786698519943
0,11.4,-15.9354410470115
0,11.5,-15.8160423605945
0,11.6,-15.6809121953652
0,11.7,-15.5015715268186
0,11.8,-15.2708800858861
0,11.9,-15.0184274948555
0,12,-14.8234529518967
0,12.1,-14.7953625736816
0,12.2,-15.0453461030728
0,12.3,-15.8203388066219
0,12.4,-17.219569489194
0,12.5,-18.7082301540579
0,12.6,-19.9373414822161
0,12.7,-20.8864947773525
0,12.8,-21.6145214630012
0,12.9,-22.1801602417517
0,13,-22.6300700450065
0,13.1,-22.9989385351336
0,13.2,-23.311418121101
0,13.3,-23.5842415769222
0,13.4,-23.828231943699
0,13.5,-24.05009753095
0,13.6,-24.2539066919037
0,13.7,-24.4421777867621
0,13.8,-24.6165968668613
0,13.9,-24.7784372384514
0,14,-24.9287757165843
0,14.1,-25.0685885720615
0,14.2,-25.198785520701
0,14.3,-25.3202166768373
0,14.4,-25.4336706201749
0,14.5,-25.5398716387341
0,14.6,-25.6394789284738
0,14.7,-25.733088129798
0,14.8,-25.8212346952643
0,14.9,-25.9043983982255
0,15,-25.983008381578
0,15.1,-26.057448308704
0,15.2,-26.1280613332087
0,15.3,-26.1951547245897
0,15.4,-26.2590040716527
0,15.5,-26.3198570406392
0,15.6,-26.3779366984436
0,15.7,-26.4334444298115
0,15.8,-26.4865624862063
0,15.9,-26.5374562068126
0,16,-26.586275951404
0,16.1,-26.6331587821457
0,16.2,-26.6782299278666
0,16.3,-26.7216040605138
0,16.4,-26.7633864097579
0,16.5,-26.8036737382372
0,16.6,-26.8425551967864
0,16.7,-26.880113076231
0,16.8,-26.9164234699218
0,16.9,-26.951556859109
0,17,-26.9855786314867
0,17.1,-27.0185495417262
0,17.2,-27.0505261215346
0,17.3,-27.081561045691
0,17.4,-27.1117034595887
0,17.5,-27.1409992730319
0,17.6,-27.1694914243765
0,17.7,-27.1972201185393
0,17.8,-27.2242230419245
0,17.9,-27.2505355569117
0,18,-27.2761908781993
0,18.1,-27.3012202330048
0,18.2,-27.3256530068672
0,18.3,-27.349516876581
0,18.4,-27.3728379316025
0,18.5,-27.3956407851082
0,18.6,-27.4179486757459
0,18.7,-27.4397835609977
0,18.8,-27.4611662029681
0,18.9,-27.482116247321
0,19,-27.5026522960082
0,19.1,-27.5227919743627
0,19.2,-27.5425519930669
0,19.3,-27.5619482054572
0,19.4,-27.5809956605722
0,19.5,-27.5997086523165
0,19.6,-27.6181007650693
0,19.7,-27.6361849160405
0,19.8,-27.653973394641
0,19.9,-27.6714778991147
0,20,-27.6887095706517
1,2,-5.41045580502
1,2.1,-10.2746574286901
1,2.2,-14.3804798356639
1,2.3,-3.85811167963785
1,2.4,-4.01949689421967
1,2.5,-3.75082676028341
1,2.6,-3.5118247628091
1,2.7,-3.22074928961272
1,2.8,-2.71948887982978
1,2.9,-1.82418085581624
1,3,-0.31289889747257
1,3.1,2.20171606019333
1,3.2,6.14176791409352
1,3.3,7.19233455095502
1,3.4,1.46230464213365
1,3.5,-3.3610050218878
1,3.6,-6.98202387476289
1,3.7,-9.84479806928857
1,3.8,-12.1735645044451
1,3.9,-14.074233529638
1,4,-15.6012673108444
1,4.1,-16.7933151826552
1,4.2,-17.6911867438614
1,4.3,-18.3425196784016
1,4.4,-18.8011034777625
1,4.5,-19.1155685377129
1,4.6,-19.3266793352926
1,4.7,-19.4666578103865
1,4.8,-19.5594015046555
1,4.9,-19.6218779460013
1,5,-19.6657797194202
1,5.1,-19.6989927670708
1,5.2,-19.7267423925448
1,5.3,-19.7524291808705
1,5.4,-19.7782160805097
1,5.5,-19.8054320310879
1,5.6,-19.8348462431449
1,5.7,-19.8668534502821
1,5.8,-19.9015986517568
1,5.9,-19.9390609713446
1,6,-19.979109954488
1,6.1,-20.0215432971964
1,6.2,-20.066112077984
1,6.3,-20.1125376084754
1,6.4,-20.1605227145744
1,6.5,-20.2097593917079
1,6.6,-20.2595938404094
1,6.7,-20.3085320876502
1,6.8,-20.3562150767925
1,6.9,-20.402288848994
1,7,-20.4464251296705
1,7.1,-20.4883511587382
1,7.2,-20.5278921553198
1,7.3,-20.5650310256336
1,7.4,-20.5999916175175
1,7.5,-20.6333542147722
1,7.6,-20.6662153833935
1,7.7,-20.7004092470557
1,7.8,-20.7388145905008
1,7.9,-20.7857831517248
1,8,-20.847741145516
1,8.1,-20.9340419073132
1,8.2,-21.058188404624
1,8.3,-21.2396101939826
1,8.4,-21.5062863273924
1,8.5,-21.898676638944
1,8.6,-22.4756977755454
1,8.7,-23.3241018598778
1,8.8,-24.5754854839529
1,8.9,-26.4494705068147
1,9,-29.3962580631394
1,9.1,-34.6300765989809
1,9.2,-42.3892504076645
1,9.3,-34.2094590398213
1,9.4,-29.6467479998612
1,9.5,-27.8653261802339
1,9.6,-27.8617195167036
1,9.7,-29.1816723549378
1,9.8,-31.3807151033926
1,9.9,-33.104489827308
1,10,-32.0113610452558
1,10.1,-29.2282527665094
1,10.2,-26.5847687958997
1,10.3,-24.4071816182217
1,10.4,-22.6374192915155
1,10.5,-21.2011740710824
1,10.6,-20.0500651879493
1,10.7,-19.1519458808675
1,10.8,-18.4770544347647
1,10.9,-17.9895042285764
1,11,-17.6464789455649
1,11.1,-17.3552621019729
1,11.2,-17.118957893089
1,11.3,-16.9097745056265
1,11.4,-16.7089181170186
1,11.5,-16.5104334270012
1,11.6,-16.3234855310852
1,11.7,-16.1733275552909
1,11.8,-16.0993450429407
1,11.9,-16.1467805099778
1,12,-16.3502300096463
1,12.1,-16.7145352244804
1,12.2,-17.2063554215941
1,12.3,-17.7645711345043
1,12.4,-18.3221344658062
1,12.5,-18.8251513992322
1,12.6,-19.2418187825401
1,12.7,-19.5622896638932
1,12.8,-19.7936255668641
1,12.9,-19.9534171411478
1,13,-20.0641165671452
1,13.1,-20.1487801942741
1,13.2,-20.2281223882685
1,13.3,-20.3185483298923
1,13.4,-20.4309600973275
1,13.5,-20.5703323326912
1,13.6,-20.7361159581801
1,13.7,-20.9233998748411
1,13.8,-21.1245528796276
1,13.9,-21.3309442303942
1,14,-21.5343811652082
1,14.1,-21.7280615014201
1,14.2,-21.9070182403125
1,14.3,-22.0681557076063
1,14.4,-22.2100238902958
1,14.5,-22.3324684186804
1,14.6,-22.4362574156424
1,14.7,-22.5227458326214
1,14.8,-22.5936047699853
1,14.9,-22.6506211276203
1,15,-22.6955606585447
1,15.1,-22.7300823507415
1,15.2,-22.7556912648327
1,15.3,-22.7737183749669
1,15.4,-22.7853182122797
1,15.5,-22.79147741937
1,15.6,-22.7930293300755
1,15.7,-22.7906712766159
1,15.8,-22.784982507156
1,15.9,-22.776441434872
1,16,-22.7654415111946
1,16.1,-22.7523053914078
1,16.2,-22.7372972976966
1,16.3,-22.7206336267941
1,16.4,-22.7024919283971
1,16.5,-22.68301841881
1,16.6,-22.6623342071334
1,16.7,-22.6405404089154
1,16.8,-22.6177223112183
1,16.9,-22.5939527377821
1,17,-22.5692947460498
1,17.1,-22.5438037708568
1,17.2,-22.517529313494
1,17.3,-22.4905162601073
1,17.4,-22.4628059002047
1,17.5,-22.4344367044385
1,17.6,-22.4054449107641
1,17.7,-22.3758649594349
1,17.8,-22.3457298099405
1,17.9,-22.3150711667871
1,18,-22.2839196358215
1,18.1,-22.2523048284639
1,18.2,-22.2202554276374
1,18.3,-22.1877992262349
1,18.4,-22.1549631465615
1,18.5,-22.1217732472375
1,18.6,-22.0882547224776
1,18.7,-22.0544318974052
1,18.8,-22.0203282220628
1,18.9,-21.9859662659984
1,19,-21.9513677146974
1,19.1,-21.9165533686616
1,19.2,-21.8815431455843
1,19.3,-21.8463560858039
1,19.4,-21.8110103610303
1,19.5,-21.7755232862
1,19.6,-21.7399113342287
1,19.7,-21.7041901533686
1,19.8,-21.6683745868512
1,19.9,-21.63247869448
1,20,-21.5965157758414
