"$State []","Freq [GHz]","dB(St(10,9)) []"
0,2,-4.00940845031641
0,2.1,-4.27191177736065
0,2.2,-4.09141928308916
0,2.3,-3.7529757094862
0,2.4,-3.37255464299991
0,2.5,-3.00775954636465
0,2.6,-2.68632766191205
0,2.7,-2.41666748325783
0,2.8,-2.19693822795462
0,2.9,-2.02152352491766
0,3,-1.88421592589243
0,3.1,-1.77940043078814
0,3.2,-1.7023776077847
0,3.3,-1.64936615034347
0,3.4,-1.61739337544364
0,3.5,-1.60415493481492
0,3.6,-1.6078779350243
0,3.7,-1.62720146174305
0,3.8,-1.66107860731142
0,3.9,-1.70869927844022
0,4,-1.76943104512418
0,4.1,-1.84277477846671
0,4.2,-1.92833202663219
0,4.3,-2.02578154995644
0,4.4,-2.13486295256683
0,4.5,-2.25536580994784
0,4.6,-2.38712306776332
0,4.7,-2.53000777618233
0,4.8,-2.68393243732819
0,4.9,-2.84885039532709
0,5,-3.02475880129963
0,5.1,-3.21170274899472
0,5.2,-3.40978020673369
0,5.3,-3.61914737090121
0,5.4,-3.84002403563175
0,5.5,-4.07269851056062
0,5.6,-4.31753151973662
0,5.7,-4.57495837511884
0,5.8,-4.84548853239357
0,5.9,-5.12970140121398
0,6,-5.42823699571479
0,6.1,-5.7417796800191
0,6.2,-6.07103290416779
0,6.3,-6.41668247271868
0,6.4,-6.77934560193248
0,6.5,-7.15950290110803
0,6.6,-7.55808645270355
0,6.7,-7.97535949974912
0,6.8,-8.4115857580032
0,6.9,-8.86674490662589
0,7,-9.34044775183804
0,7.1,-9.83184094965126
0,7.2,-10.3395049886318
0,7.3,-10.8613526473602
0,7.4,-11.3945402406965
0,7.5,-11.9354108020131
0,7.6,-12.4794964917705
0,7.7,-13.0216154076031
0,7.8,-13.5561022598761
0,7.9,-14.0772077726391
0,8,-14.5796820204018
0,8.1,-15.0595184099824
0,8.2,-15.5147811197019
0,8.3,-15.9463841784813
0,8.4,-16.3586599207884
0,8.5,-16.7595767593686
0,8.6,-17.1605653567821
0,8.7,-17.5761000478407
0,8.8,-18.0234262391339
0,8.9,-18.5229643800177
0,9,-19.0996129895858
0,9.1,-19.7841551353754
0,9.2,-20.6128335101037
0,9.3,-21.6237995233309
0,9.4,-22.8532665269856
