"$State []","Freq [GHz]","DG []"
0,10.8,9.99998897832835
0,10.9,9.99999366804207
0,11,9.99999808692741
0,11.1,9.99999969876366
0,11.2,9.99999998270742
0,11.3,9.99999998840041
0,11.4,9.99999976119018
0,11.5,9.99999794532681
0,11.6,9.99998917800779
0,11.7,9.99995781105383
0,11.8,9.9998768799222
0,11.9,9.99974713277003
0,12,9.99965518213487
0,12.1,9.99968118218374
0,12.2,9.99977487830257
0,12.3,9.99986054335641
0,12.4,9.99991616164334
0,12.5,9.99995056498388
0,12.6,9.99997196664544
0,12.7,9.99998440307663
0,12.8,9.9999912829385
0,12.9,9.99999505834164
0,13,9.99999715469624
0,13.1,9.99999833894831
0,13.2,9.9999990193894
0,13.3,9.99999941620341
0,13.4,9.99999965045456
0,13.5,9.99999979004998
0,13.6,9.99999987379604
0,13.7,9.99999992424025
0,13.8,9.99999995467148
0,13.9,9.99999997301424
0,14,9.99999998403727
0,14.1,9.99999999062858
0,14.2,9.99999999454351
0,14.3,9.99999999684988
0,14.4,9.99999999819609
0,14.5,9.99999999897414
0,14.6,9.99999999941939
0,14.7,9.99999999967186
0,14.8,9.99999999981396
0,14.9,9.99999999989359
0,15,9.9999999999382
0,15.1,9.99999999996335
0,15.2,9.99999999997771
0,15.3,9.99999999998609
0,15.4,9.99999999999113
0,15.5,9.99999999999429
0,15.6,9.99999999999633
0,15.7,9.9999999999977
0,15.8,9.99999999999864
0,15.9,9.99999999999926
0,16,9.99999999999965
0,16.1,9.99999999999987
0,16.2,9.99999999999997
0,16.3,10
0,16.4,10
0,16.5,10
0,16.6,9.99999999999997
0,16.7,9.99999999999983
0,16.8,9.99999999999936
0,16.9,9.99999999999823
0,17,9.99999999999591
0,17.1,9.99999999999164
0,17.2,9.99999999998438
0,17.3,9.99999999997282
0,17.4,9.99999999995525
0,17.5,9.9999999999296
0,17.6,9.99999999989334
0,17.7,9.99999999984352
0,17.8,9.99999999977662
0,17.9,9.99999999968862
0,18,9.99999999957489
0,18.1,9.99999999943019
0,18.2,9.99999999924858
0,18.3,9.99999999902341
0,18.4,9.99999999874725
0,18.5,9.99999999841182
0,18.6,9.99999999800796
0,18.7,9.99999999752551
0,18.8,9.99999999695326
0,18.9,9.99999999627884
0,19,9.99999999548866
0,19.1,9.99999999456776
0,19.2,9.99999999349971
0,19.3,9.99999999226648
0,19.4,9.99999999084827
0,19.5,9.99999998922341
0,19.6,9.99999998736811
0,19.7,9.99999998525632
0,19.8,9.99999998285951
0,19.9,9.99999998014643
0,20,9.99999997708283
1,2,9.99862503994681
1,2.1,9.99943195358217
1,2.2,9.99967291769389
1,2.3,9.99976629775231
1,2.4,9.99981963865503
1,2.5,9.99986332994854
1,2.6,9.99990254093625
1,2.7,9.99993553165551
1,2.8,9.99996071248213
1,2.9,9.99997810639029
1,3,9.99998897112624
1,3.1,9.99999507062487
1,3.2,9.9999981053241
1,3.3,9.99999940857345
1,3.4,9.99999986744074
1,3.5,9.99999998486076
