"$State []","Freq [GHz]","dB(St(2,1)) []","dB(St(3,1)) []","dB(St(4,1)) []","dB(St(5,1)) []","dB(St(6,1)) []","dB(St(7,1)) []","dB(St(8,1)) []"
0,4.5,-17.2862829708084,-22.7147343826054,-21.9759208466495,-35.3346981745601,-20.0909135903952,-17.2037449343367,-11.729172470307
0,4.6,-17.3427232703417,-22.7716438913944,-22.1104418456795,-35.1890324515409,-20.2301316962529,-17.3215803206012,-11.8092500727074
0,4.7,-17.4056986095004,-22.8334306663101,-22.2490693425662,-35.0590166748953,-20.3761348466326,-17.4462847307199,-11.8935591398183
0,4.8,-17.474635822341,-22.8999853964623,-22.3919117761051,-34.942021000393,-20.5287516592692,-17.577711598414,-11.9817554848753
0,4.9,-17.5490816668838,-22.9711479766655,-22.5389730197322,-34.8357035458772,-20.6878682211809,-17.7157638662055,-12.0735251942133
0,5,-17.6286875423283,-23.0467256743826,-22.6901724946019,-34.7381051742809,-20.8534234718898,-17.860384062359,-12.1685732848722
0,5.1,-17.7131936174241,-23.1265049639955,-22.8453619385495,-34.6476893337478,-21.0254041127229,-18.0115451441337,-12.2666143265744
0,5.2,-17.8024137423949,-23.2102590966116,-23.004338811922,-34.5633408736245,-21.2038397723759,-18.1692423861872,-12.3673646982846
0,5.3,-17.8962218058724,-23.2977526959542,-23.1668566585614,-34.4843341504766,-21.3887988477043,-18.3334864013149,-12.4705361130045
0,5.4,-17.9945397950289,-23.3887442116599,-23.3326328424389,-34.4102789162341,-21.5803852439409,-18.5042972832796,-12.575830070523
0,5.5,-18.0973276015771,-23.4829867769884,-23.5013540766978,-34.3410516481662,-21.7787361257205,-18.6816998189728,-12.682932945003
0,5.6,-18.2045745132952,-23.5802278346301,-23.6726801160734,-34.2767194248913,-21.9840207332977,-18.8657197057499,-12.7915114634957
0,5.7,-18.3162922941174,-23.6802077722689,-23.8462459265645,-34.217462702519,-22.1964402986699,-19.0563807155621,-12.9012083749813
0,5.8,-18.4325097579987,-23.7826577269014,-24.021662592121,-34.1635022253964,-22.4162291016252,-19.2537027626722,-13.011638144966
0,5.9,-18.5532687668421,-23.8872966614145,-24.1985171733475,-34.1150338962147,-22.6436567283269,-19.4577008524005,-13.1223825380992
0,6,-18.678621622339,-23.9938277821849,-24.3763717007512,-34.0721739547626,-22.8790316306283,-19.6683849129766,-13.2329859717531
