"$State []","Freq [GHz]","ECC []"
0,2,-0.770966408807592
0,2.1,-0.657556059554863
0,2.2,-0.735558635942548
0,2.3,-0.853382667257043
0,2.4,-1.00292996531005
0,2.5,-1.18660345354365
0,2.6,-1.40427545400431
0,2.7,-1.65347902534411
0,2.8,-1.93098130587965
0,2.9,-2.2335290613477
0,3,-2.55782937292796
0,3.1,-2.90020708466003
0,3.2,-3.25628441239169
0,3.3,-3.62088677082826
0,3.4,-3.98825624211855
0,3.5,-4.35257247651216
0,3.6,-4.70873442960024
0,3.7,-5.05332909818552
0,3.8,-5.38570625185448
0,3.9,-5.70911145162374
0,4,-6.03193227737244
0,4.1,-6.36932105332738
0,4.2,-6.74584935076966
0,4.3,-7.20066044006638
0,4.4,-7.79857034225333
0,4.5,-8.65633267173946
0,4.6,-10.0133578985917
0,4.7,-12.4651636633033
0,4.8,-18.0596102597927
0,4.9,-41.9038071020052
0,5,62.3861549360189
0,5.1,15.0640940261023
0,5.2,7.7100953981955
0,5.3,4.7844087434181
0,5.4,3.246682910866
0,5.5,2.31919915393848
0,5.6,1.71217949435843
0,5.7,1.29304240421323
0,5.8,0.99260405147985
0,5.9,0.771295698659539
0,6,0.604906001328141
0,6.1,0.47783557261168
0,6.2,0.379616700736844
0,6.3,0.302991021217945
0,6.4,0.242787679916861
0,6.5,0.195238384843744
0,6.6,0.157477422938614
0,6.7,0.127416733662189
0,6.8,0.103422691030016
0,6.9,0.0842336290808907
0,7,0.0688644012074473
0,7.1,0.056538681603972
0,7.2,0.0466401689872954
0,7.3,0.0386768616484647
0,7.4,0.0322544847374087
0,7.5,0.027056398749266
0,7.6,0.0228281535152166
0,7.7,0.0193654225592398
0,7.8,0.0165044474491202
0,7.9,0.0141143962116309
0,8,0.0120912307056394
0,8.1,0.0103528109857207
0,8.2,0.00883505846204252
0,8.3,0.00748906401617138
0,8.4,0.00627905952128315
0,8.5,0.0051811500001835
0,8.6,0.00418258687712593
0,8.7,0.00328110780393813
0,8.8,0.00248350359513806
0,8.9,0.00180233115811583
0,9,0.00125009375755504
0,9.1,0.000831735049811626
0,9.2,0.0005385160884685
0,9.3,0.000347544024230901
0,9.4,0.000228814041156357
0,9.5,0.000155246522214
0,9.6,0.000108509397044657
0,9.7,7.928797712671E-05
0,9.8,6.52165568870376E-05
0,9.9,6.84018280562888E-05
0,10,9.39803558244543E-05
0,10.1,0.000150819300783453
0,10.2,0.000252865606140135
0,10.3,0.000418705013807259
0,10.4,0.000668220296791595
0,10.5,0.00101583474708378
0,10.6,0.00145902052493726
0,10.7,0.00196216461931987
0,10.8,0.00244397957180355
0,10.9,0.0027895081933537
0,11,0.00293069482046484
0,11.1,0.00283876898609082
0,11.2,0.00252222204556588
0,11.3,0.00209513902672943
0,11.4,0.00169004412135942
0,11.5,0.0014048165567916
0,11.6,0.00129913818853388
0,11.7,0.0014280325905127
0,11.8,0.0018931987346597
0,11.9,0.00289591000057864
0,12,0.00471429190436551
0,12.1,0.0074672612172545
0,12.2,0.0106539026175453
0,12.3,0.011679660980547
0,12.4,0.00832636928256388
0,12.5,0.00486973938966064
0,12.6,0.00298992058933106
0,12.7,0.00203328843894812
0,12.8,0.00152549866123807
0,12.9,0.00120179020174631
0,13,0.000998576593982899
0,13.1,0.000857710465873795
0,13.2,0.000753551213215237
0,13.3,0.000672248292839696
0,13.4,0.000605924706842228
0,13.5,0.000549949816444035
0,13.6,0.000501519891123737
0,13.7,0.000458876233463183
0,13.8,0.000420864037912972
0,13.9,0.000386683053338579
0,14,0.0003557475304079
0,14.1,0.000327607653287981
0,14.2,0.000301904877024251
0,14.3,0.00027834569102449
0,14.4,0.000256685388662387
0,14.5,0.000236717373187045
0,14.6,0.000218265653499772
0,14.7,0.000201179290027323
0,14.8,0.000185328117176668
0,14.9,0.000170599357680635
0,15,0.000156894893781346
0,15.1,0.000144129040719899
0,15.2,0.000132226714026315
0,15.3,0.000121121910480252
0,15.4,0.000110756441511337
0,15.5,0.000101078871239868
0,15.6,9.20436213621304E-05
0,15.7,8.36102127586014E-05
0,15.8,7.57426196925958E-05
0,15.9,6.840871718567E-05
0,16,6.15798058933893E-05
0,16.1,5.52302017744061E-05
0,16.2,4.93368802107989E-05
0,16.3,4.38791661256918E-05
0,16.4,3.88384631555612E-05
0,16.5,3.41980161481754E-05
0,16.6,2.99427022349383E-05
0,16.7,2.60588465174349E-05
