"$State []","Freq [GHz]","CCL []"
0,2,1.07637515268127
0,2.1,1.02938690442549
0,2.2,1.03314128427259
0,2.3,1.06130968341038
0,2.4,1.10731579303094
0,2.5,1.16728779175057
0,2.6,1.23702744287528
0,2.7,1.31256673133549
0,2.8,1.39050351992988
0,2.9,1.46793179285164
0,3,1.54237045407567
0,3.1,1.61171806851475
0,3.2,1.67419229094843
0,3.3,1.72827219919117
0,3.4,1.77267068588867
0,3.5,1.80634336861031
0,3.6,1.82852343715929
0,3.7,1.83876484384659
0,3.8,1.83697620380245
0,3.9,1.82343192242092
0,4,1.79875368656558
0,4.1,1.76386286389548
0,4.2,1.71991068181207
0,4.3,1.66819679925845
0,4.4,1.61008749708977
0,4.5,1.54694272302614
0,4.6,1.48005782326103
0,4.7,1.41062222310131
0,4.8,1.33969445387796
0,4.9,1.26819112127008
0,5,1.19688662189669
0,5.1,1.12642037749623
0,5.2,1.05730876082592
0,5.3,0.989959478488828
0,5.4,0.924686782307192
0,5.5,0.861726410385129
0,5.6,0.801249576209617
0,5.7,0.743375627641463
0,5.8,0.688183202708564
0,5.9,0.635719836603568
0,6,0.586010044802961
0,6.1,0.539061938634322
0,6.2,0.494872436583106
0,6.3,0.453431129051934
0,6.4,0.414722846037696
0,6.5,0.37872897471317
0,6.6,0.345361422116066
0,6.7,0.314603268578186
0,6.8,0.286384264530471
0,6.9,0.26063011564794
0,7,0.237259227048859
0,7.1,0.21618002784051
0,7.2,0.197289003233439
0,7.3,0.18046953007347
0,7.4,0.165591562966087
0,7.5,0.152512158394368
0,7.6,0.141076761394427
0,7.7,0.13112112253464
0,7.8,0.122473671996548
0,7.9,0.11495816340748
0,8,0.108396425091789
0,8.1,0.102611133028442
0,8.2,0.0974286533126805
0,8.3,0.0926821686736022
0,8.4,0.0882154008067544
0,8.5,0.0838869999457565
0,8.6,0.0795745974398786
0,8.7,0.0751751372739239
0,8.8,0.0705954370764333
0,8.9,0.0657301162396504
0,9,0.0604448112126566
0,9.1,0.0546119356415353
0,9.2,0.0482147015541458
0,9.3,0.0414294765728
0,9.4,0.0346025483136953
0,9.5,0.0281644761303566
0,9.6,0.0225390776540807
0,9.7,0.0180608156931657
0,9.8,0.0149166893285605
0,9.9,0.013114922726481
0,10,0.0124992633671914
0,10.1,0.0128325309869453
0,10.2,0.0138959625763497
0,10.3,0.0155410045726207
0,10.4,0.0176899098677387
0,10.5,0.0203078992808939
0,10.6,0.02336396946519
0,10.7,0.0267959218813804
0,10.8,0.0305232191996327
0,10.9,0.0346737417113463
0,11,0.0405396142110837
0,11.1,0.045613517604315
0,11.2,0.0502974342977702
0,11.3,0.054659846303156
0,11.4,0.0591193689663001
0,11.5,0.0645622787481782
0,11.6,0.0725255165325337
0,11.7,0.0848272545585809
0,11.8,0.101869809692718
