"$State []","Freq [GHz]","dB(St(1,1)) []","dB(St(2,2)) []","dB(St(3,3)) []","dB(St(4,4)) []","dB(St(5,5)) []","dB(St(6,6)) []","dB(St(7,7)) []","dB(St(8,8)) []"
1,9.3,-16.9234509935496,-11.5762645243938,-8.49525789028643,-10.2875528537257,-13.8609220636862,-14.7466261008667,-13.2695408504859,-13.3324925447971
1,9.4,-16.8429969081407,-11.6502509372237,-8.88423095633652,-10.8081026546144,-13.6281692140069,-16.0544646127414,-13.0639296300634,-13.5321953480047
1,9.5,-16.8676337407648,-11.6735135789346,-9.48569736544332,-11.0992946648474,-13.3589314293505,-17.497493627921,-13.0193028439786,-13.7604179776865
1,9.6,-17.0359840113899,-11.6405788607852,-10.1342558105214,-11.2744671413165,-13.0679876003762,-18.8537249328415,-13.0487933898831,-13.9611486804938
1,9.7,-17.3749317865713,-11.574388241579,-10.6999079781716,-11.4094191964506,-12.7556835598039,-19.9697174006863,-13.0882097015013,-14.056740721145
1,9.8,-17.8900212908149,-11.5035426443983,-11.1242310334045,-11.5234639716703,-12.4143956797519,-20.7818716360104,-13.0979684183163,-13.9923568334017
1,9.9,-18.5612108046761,-11.4504899812284,-11.4024475844539,-11.6143248769864,-12.038709089622,-21.2928580530713,-13.0562889512076,-13.7714321009437
1,10,-19.3427803128962,-11.4295253578266,-11.5550475783311,-11.6761606100272,-11.6410345466308,-21.539896700883,-12.9528583215106,-13.4417299982241
1,10.1,-20.1623710451375,-11.4477865682719,-11.6084130670577,-11.7047819779751,-11.2590271635599,-21.574135640041,-12.78465975792,-13.0566520301831
1,10.2,-20.9151725002987,-11.5062661833563,-11.585915922843,-11.698433188858,-10.9362127514335,-21.4515677708547,-12.5535401054649,-12.6530497330766
1,10.3,-21.4611722057436,-11.6003073726894,-11.5053908380421,-11.6574600653775,-10.6937642996437,-21.2283480483187,-12.2648952048389,-12.2499672625831
1,10.4,-21.6547851875409,-11.7195887850612,-11.3793236453597,-11.5838388506845,-10.527082329737,-20.9560875390084,-11.9270406532212,-11.8550185083774
1,10.5,-21.4264329192134,-11.8475155631088,-11.2157390188813,-11.4807936658154,-10.420858201147,-20.6772665413117,-11.5509977792882,-11.4702164280792
1,10.6,-20.8483244508136,-11.959970588113,-11.0189349449157,-11.352526858123,-10.3606034599013,-20.4224471309716,-11.150499658033,-11.0954978062054
1,10.7,-20.0896355717569,-12.0240964722761,-10.7897605216985,-11.2040390071613,-10.3358520063434,-20.2100377863708,-10.7420219077491,-10.7304937322915
1,10.8,-19.311969367426,-11.9998644400507,-10.5252971668976,-11.0410079020396,-10.3394948544471,-20.0481015994289,-10.3445942835042,-10.3753132889023
1,10.9,-18.6129184792987,-11.850545406391,-10.2177524675293,-10.8696961885776,-10.3664999362614,-19.9371519330227,-9.97909828440873,-10.0308435083528
1,11,-18.0292737296607,-11.567934493247,-9.85216327179271,-10.6968581167138,-10.4130020420862,-19.8729909698948,-9.66678619995509,-9.69883016784374
1,11.1,-17.276052019773,-11.3114468678416,-9.74848135389424,-10.5570948220715,-10.4155914096854,-20.1606449482714,-9.40089279390373,-9.39486735781177
1,11.2,-16.6729975871115,-11.1514259985721,-9.76101133237706,-10.4774474482542,-10.412833694625,-20.5780859208511,-9.22557678647163,-9.16142196433074
1,11.3,-16.2752365494393,-11.0983899741698,-9.89887085065941,-10.4732857565207,-10.3745945201985,-20.8982827513396,-9.15637312886545,-9.00128950808474
1,11.4,-16.10271870116,-11.1234667751736,-10.1679547582902,-10.5490035466427,-10.2734234567719,-20.7556827552242,-9.19321389346916,-8.90986180068478
1,11.5,-16.1283583660162,-11.1583818404456,-10.5624486936162,-10.6832623610271,-10.0966325908836,-19.8796357330312,-9.31114895043598,-8.87554434212315
1,11.6,-16.2744770660632,-11.1170585609007,-11.0334205947772,-10.8095067584855,-9.85427240872729,-18.384527586596,-9.45512627514177,-8.88097384494432
1,11.7,-16.4179056889666,-10.9369426201568,-11.4481489461179,-10.8211350422451,-9.56247657754337,-16.6163895500014,-9.54384095859271,-8.90387630857672
1,11.8,-16.4660935183214,-10.623056907012,-11.6047845741405,-10.6775621422578,-9.19992694545425,-14.8541662933989,-9.49122133470528,-8.91512810018966
1,11.9,-16.5233623144284,-10.2628232341941,-11.4242557627824,-10.5614673004558,-8.82411367305508,-13.2916488470596,-9.25656062837429,-8.88316036594946
1,12,-16.7401885334041,-9.98425901441349,-11.0944837057972,-10.6995779033264,-8.6181491945038,-12.1855565468897,-8.91768936242621,-8.87035575900734
1,12.1,-16.9468030893861,-9.81197938248787,-10.8206009291676,-10.87258208224,-8.52928336510298,-11.6413300020075,-8.6636807473954,-8.77119680103367
1,12.2,-17.1166024549413,-9.76854874866401,-10.6482353141249,-11.0451924991366,-8.46489514581827,-11.3357375018579,-8.54132650741462,-8.60177196360922
1,12.3,-17.2169618620754,-9.85659589480895,-10.4920941396323,-11.2395852871696,-8.46544677698877,-11.1440083790689,-8.5802494012839,-8.452874916923
1,12.4,-17.1765335561688,-10.0345907317005,-10.3283132791503,-11.392855654384,-8.57236660554173,-11.057241874118,-8.84203659966525,-8.47324724456271
1,12.5,-16.9884667489262,-10.2793409823782,-10.2092215637658,-11.477663605903,-8.80046302181969,-11.0590173902338,-9.29622622229757,-8.77796760291408
1,12.6,-16.7019970205954,-10.5762670896815,-10.178195692347,-11.5005973440635,-9.11253772172417,-11.1252416054465,-9.8288568759745,-9.3164567514334
1,12.7,-16.3861348457126,-10.9012606744711,-10.2404851908046,-11.4820432622235,-9.4508956753599,-11.2334388142305,-10.3432704103748,-9.92512117685986
1,12.8,-16.0968242384525,-11.2283051277715,-10.3790443320498,-11.4421636698763,-9.77651666554569,-11.3664952023183,-10.7978104226884,-10.4895054005214
1,12.9,-15.8642921331491,-11.5407997563159,-10.571926949901,-11.3952206516496,-10.0745009377138,-11.5128193349951,-11.1873620218399,-10.9737433313485
1,13,-15.6967816250217,-11.8316699685839,-10.8001287383075,-11.349275529008,-10.3433628588855,-11.6650773242017,-11.5211358168859,-11.381183666196
1,13.1,-15.5896007221468,-12.0993001315356,-11.0493451227315,-11.3079028954466,-10.586352784809,-11.8187215258857,-11.8111279727511,-11.7262626738479
1,13.2,-15.5327060676186,-12.3444999464806,-11.3094359227488,-11.2720208522714,-10.8075062528194,-11.9708462885727,-12.0679401003779,-12.0233530702466
1,13.3,-15.5151749019312,-12.5689671919385,-11.5733943399462,-11.2412124981045,-11.0103592135903,-12.1194759907616,-12.2998345330343,-12.2838752371973
1,13.4,-15.527233496534,-12.7746133227296,-11.836422733322,-11.214520400327,-11.1977132915572,-12.2631874666974,-12.512907828776,-12.5162476453233
1,13.5,-15.5608814040169,-12.963290092527,-12.0952398862044,-11.190867144751,-11.3717230392604,-12.4009285069239,-12.7115389413838,-12.7265243695349
1,13.6,-15.6098619169183,-13.1366899005218,-12.3475962250564,-11.1692509996545,-11.5340436593576,-12.5319292596032,-12.8988269829014,-12.9190439703484
1,13.7,-15.6693950247206,-13.2963194843901,-12.5919441269123,-11.1488197608526,-11.6859619795398,-12.6556500073316,-13.0769442772146,-13.096934846552
1,13.8,-15.7358674793578,-13.4435037506737,-12.8272161390858,-11.1288843542972,-11.8284960953241,-12.7717412368855,-13.2474011300826,-13.2624766286739
1,13.9,-15.806555965933,-13.5794011025377,-13.0526762122707,-11.108905892649,-11.962467151094,-12.8800084357267,-13.4112380749062,-13.4173509430923
1,14,-15.8794041602602,-13.7050221888938,-13.2678198617859,-11.0884733883045,-12.0885501287322,-12.9803804543307,-13.5691634116692,-13.5628141624572
1,14.1,-15.9528520583663,-13.8212486203567,-13.472307088366,-11.0672802656942,-12.2073097507125,-13.0728818962418,-13.7216509976045,-13.6998168560842
1,14.2,-16.0257087382085,-13.9288502581389,-13.6659172977396,-11.0451031059702,-12.3192260655696,-13.1576099107465,-13.8690096548161,-13.8290871492379
1,14.3,-16.0970587819684,-14.0285006105795,-13.8485190486972,-11.0217837374604,-12.4247129196134,-13.2347153221826,-14.0114324651504,-13.9511895947367
1,14.4,-16.1661938731547,-14.1207902867612,-14.020049820203,-10.9972147213285,-12.524131504757,-13.304387687,-14.1490318510951,-14.066567301781
1,14.5,-16.2325628714122,-14.2062386332498,-14.180502540995,-10.971327851681,-12.6178004670272,-13.3668437017846,-14.2818646122044,-14.1755724946126
