"$State []","Freq [GHz]","dB(St(1,1)) []","dB(St(2,2)) []","dB(St(3,3)) []","dB(St(4,4)) []","dB(St(5,5)) []","dB(St(6,6)) []","dB(St(7,7)) []","dB(St(8,8)) []"
0,5.7,-22.0625492753077,-13.7524567621373,-22.4610586093118,-16.0599170392366,-17.8268578489263,-15.3894169472314,-18.5244692759525,-18.7959425589279
0,5.8,-23.1084532112013,-13.7196389818425,-23.3912580569304,-16.7057403022685,-18.4867389973142,-15.7576155857825,-18.7027136624081,-18.4030565281176
0,5.9,-24.2546352821785,-13.6940310318441,-24.4155066220115,-17.40625788154,-19.1981018995324,-16.1345421290403,-18.8778714999912,-18.0327287010537
0,6,-25.5146997748676,-13.6755041946394,-25.5506563997758,-18.1727981283225,-19.9712889036725,-16.5205926607792,-19.0497365976487,-17.6836636053045
0,6.1,-26.8957758787847,-13.6639123932926,-26.8127932124526,-19.020392524381,-20.819832446126,-16.916056595487,-19.2177246226419,-17.3543970595792
0,6.2,-28.3810782114922,-13.6590964510807,-28.2076526317059,-19.9695399336563,-21.7618593016126,-17.3210415538598,-19.380792294971,-17.0433984293648
0,6.3,-29.8859810499355,-13.6608882543441,-29.7018939543177,-21.0491540765194,-22.8223420603763,-17.7353629506834,-19.5373485283175,-16.7491307830786
0,6.4,-31.1754195084967,-13.6691133733718,-31.1499429563315,-22.3017913867989,-24.0368732633962,-18.1583836146919,-19.685157708138,-16.4700839784732
0,6.5,-31.8293978490968,-13.6835906179175,-32.1785605341778,-23.7936560854925,-25.4583205566253,-18.5887839499197,-19.821237971563,-16.2047902528604
0,6.6,-31.527728925696,-13.7041267584566,-32.2654180533599,-25.6357619574643,-27.1692070507036,-19.0242384078287,-19.9417618559853,-15.9518283485923
0,6.7,-30.445323129609,-13.7305041614746,-31.2950141476439,-28.0352949220677,-29.305628062473,-19.4609718392172,-20.0419733433737,-15.7098199146172
0,6.8,-29.0204332706085,-13.7624582814097,-29.7244529684511,-31.4479403438978,-32.0993012276897,-19.8931753539661,-20.1161440044101,-15.477420444748
0,6.9,-27.554884732623,-13.7996407153651,-28.0083958267294,-37.182594723883,-35.8522617157265,-20.3122869716555,-20.157600423175,-15.2533060621174
0,7,-26.1721458983539,-13.8415617289558,-26.3554296015038,-45.1938160956222,-39.3139078064859,-20.7062063473162,-20.158862306954,-15.036156867358
0,7.1,-24.9038998016443,-13.8875036703855,-24.8238534806481,-35.5938578053198,-36.8544136052883,-21.0586375194438,-20.1119303239394,-14.8246372462053
0,7.2,-23.7471220023327,-13.9363934409508,-23.4147361447082,-30.082120606831,-32.5984678319318,-21.348943527099,-20.0087480011429,-14.6173734565609
0,7.3,-22.6882689560665,-13.9866183693143,-22.1122798158097,-26.5506789246714,-29.3019876841043,-21.5530862384788,-19.8418280657983,-14.4129290247245
0,7.4,-21.7120956279716,-14.0357662926287,-20.8979167954338,-23.9235998614017,-26.7519686902484,-21.6462129855464,-19.604983144858,-14.2097790876808
0,7.5,-20.8045346339169,-14.0802697411057,-19.7546681173875,-21.8061680584011,-24.6823961625175,-21.6069429906735,-19.2940490900147,-14.0062860286943
0,7.6,-19.9534379617957,-14.1149412793235,-18.6682228239474,-20.0131368142558,-22.9354355299175,-21.4223372509081,-18.9074623354034,-13.8006808922934
0,7.7,-19.1486094493531,-14.1324130869661,-17.6270202222373,-18.4437404645972,-21.4175151306066,-21.0915375986692,-18.4465739625002,-13.5910585924392
0,7.8,-18.3816593276637,-14.1225569594,-16.622129650066,-17.0380413449139,-20.0707012267655,-20.626242084164,-17.9156546105334,-13.3754004022204
0,7.9,-17.6458830268935,-14.0720837410844,-15.6472096851384,-15.7586579883323,-18.8579792338743,-20.0478279606098,-17.3216386860566,-13.1516451019352
0,8,-16.9362489014727,-13.964711636322,-14.6986531176717,-14.5821770818943,-17.7555857108565,-19.3827480060135,-16.6737301779602,-12.9178403101558
0,8.1,-16.2495394183449,-13.7824927924877,-13.7759577848584,-13.49482345852,-16.7488485781016,-18.6583114283825,-15.9830125949127,-12.672415970203
0,8.2,-15.5846729743989,-13.508900530298,-12.8823158128692,-12.4901843601688,-15.8298090981503,-17.9000855508818,-15.2621657643869,-12.4146267951224
0,8.3,-14.9432082468515,-13.1337830048712,-12.0253341464079,-11.5679370165288,-14.9956989348357,-17.1309846458725,-14.5253088367755,-12.1451968723545
0,8.4,-14.3299716003026,-12.6591285417555,-11.2176491111453,-10.7329700911789,-14.2476718473544,-16.3714359947241,-13.7878862688105,-11.8671462307266
0,8.5,-13.7536217481865,-12.1032902357522,-10.4769682629403,-9.99448417003706,-13.5893233781409,-15.639893407927,-13.0664178884094,-11.586661967786
0,8.6,-13.2267681400466,-11.5010580527456,-9.82485123767026,-9.36482014781447,-13.0246679617999,-14.9531497774505,-12.3778825851985,-11.313693332738
0,8.7,-12.7650690403554,-10.8984041436534,-9.28359416140238,-8.85788489538612,-12.5555755733208,-14.3261780594864,-11.7385584149989,-11.0617689855212
0,8.8,-12.3847880404684,-10.3430493037188,-8.87128040958507,-8.485936589419,-12.1793193001602,-13.771507143754,-11.1623655710958,-10.8465331058061
0,8.9,-12.0989005544121,-9.87382416988307,-8.59640755690665,-8.24758490217007,-11.8876022140445,-13.2983541396734,-10.6591430910039,-10.6828903797048
0,9,-11.9129812946539,-9.51242387230944,-8.45455366888545,-8.1088552171995,-11.6683195905499,-12.9118292175645,-10.2336466062444,-10.5814231812295
0,9.1,-11.8228964217043,-9.26030417947032,-8.4289140603851,-8.0391366964108,-11.5094101978388,-12.6124763142515,-9.8860376456036,-10.5453951447556
0,9.2,-11.8155737515604,-9.10121830881309,-8.49417933962437,-8.04337443946936,-11.4013435684348,-12.3962499520608,-9.61400355484783,-10.5694745338579
0,9.3,-11.8719546339877,-9.00750194942619,-8.62100973270232,-8.1170405249786,-11.3345417200748,-12.2548423973042,-9.41557222412918,-10.6402161273447
0,9.4,-11.969511705481,-8.94735461275529,-8.77802831749307,-8.23984446165151,-11.2923574314417,-12.1761505688326,-9.29075648950628,-10.7371801419253
0,9.5,-12.0820776178312,-8.89117241090066,-8.93006313450281,-8.38841252238579,-11.2453340475707,-12.144633570436,-9.24008659664378,-10.8332487255759
0,9.6,-12.1771028315596,-8.81614955464239,-9.03541860354166,-8.54110431179114,-11.1528290974418,-12.1411377682654,-9.25934678255924,-10.8933939298933
0,9.7,-12.2138625450158,-8.70894098527632,-9.0503242872025,-8.67889523965935,-10.9733878139942,-12.12565136654,-9.33224714931067,-10.8729578989134
0,9.8,-12.1487055737535,-8.56635605160241,-8.94669488800649,-8.7854459492979,-10.6792464918997,-12.1443094702292,-9.42512353863513,-10.7209457374018
0,9.9,-11.9506811095566,-8.39447470560749,-8.73073625279558,-8.84728679274169,-10.2668700004634,-12.0915714433037,-9.48840889309464,-10.399749137986
0,10,-11.6197498276956,-8.20774233624962,-8.43932930425284,-8.85442973521021,-9.75758758315319,-11.9781278422978,-9.467674472289,-9.91816736245646
0,10.1,-11.1912739947476,-8.02925600035594,-8.11652653895827,-8.80153413309884,-9.18928696940525,-11.7876763080547,-9.32223058320373,-9.33472722293443
0,10.2,-10.7211561986222,-7.86330079446484,-7.8620137804216,-8.68960432521005,-8.60529765640527,-11.5169946695093,-9.04254206712878,-8.72111382048674
0,10.3,-10.2645696543152,-7.6944151812732,-7.54866146069629,-8.52482565717954,-8.04580748643535,-11.1778843027486,-8.65496414215297,-8.13725810199329
0,10.4,-9.86263571957391,-7.55504020080079,-7.31659998503564,-8.26323519123504,-7.54332427070048,-10.7954584647042,-8.21013459921605,-7.62662092287767
0,10.5,-9.53959519454765,-7.45987978758124,-7.1466994787767,-8.01411104393428,-7.12110256017722,-10.4020959604938,-7.76346330380783,-7.21416988246695
0,10.6,-9.30571861854266,-7.41225777467307,-7.04295208274706,-7.79298523617443,-6.79290591614969,-10.0295236260097,-7.35928030393159,-6.90649722944428
0,10.7,-9.16152860015176,-7.41279336904,-7.00704634387459,-7.59995564457271,-6.56274723683973,-9.70228861476222,-7.02393509992823,-6.69623497876234
0,10.8,-9.10140690071665,-7.46027255196258,-7.03714090514078,-7.45989796268931,-6.42375719829731,-9.43461302797428,-6.76658783057395,-6.56848444829635
0,10.9,-9.11623972735739,-7.55194023165248,-7.12804776736805,-7.38911926402161,-6.3570253831297,-9.23068144602564,-6.58398625863737,-6.50631874264661
0,11,-9.19527342290524,-7.68388806203492,-7.27200678145527,-7.39326876970019,-6.33466713362624,-9.08710341636135,-6.46598497141196,-6.49412681137446
